POSICIONAMENT ESTABLIMENTS CAMPING GENER 2021;;;;
;Ocupació;Viatgers;Pernoctacions;
Girona;35,3% (0,6 pp);3.767 (-74,8%);9.561 (-74,0%);
Tarragona;20,4% (-7,0 pp);3.079 (-59,4%);6.233 (-54,6%);
Lleida;42,8% (-2,7 pp);1.977 (-72,4%);6.548 (-60,9%);
Barcelona;19,1% (-8,0 pp);1.915 (-79,7%);10.988 (-70,0%);
;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;
