EVOLUCIÓ OCUPACIÓ Càmpings_21;;;;;;
en %;Ocupació % per parcel·les;;;;;
;Càmpings_21;Càmpings_20;;;;
Gener;19,05;27,02;;;;
Febrer;;37,14;;;;
Març;;;;;;
Abril;;0;;;;
Maig;;;;;;
Juny;;42,17;;;;
Juliol;;45,53;;;;
Agost;;46,32;;;;
Setembre;;37,9;;;;
Octubre;;40,3;;;;
Novembre;;29,97;;;;
Desembre;;26,3;;;;
;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;
;;;;;;
;;;;;;
