VARIACIONS INTERANUALS CAMPINGS;;;;;;
% var. Interanual;;;;;;
CAMPINGS;domèstic;estranger;;;;
Viatgers;-73,9%;-93,0%;;;;
Pernoctacions;-44,5%;-96,8%;;;;
Empleats;;;-47,1%;;;
;;;;;;
CAMPINGS;ESTADA MITJANA;;;;;
Residents;6,1;;;;;
No residents;nd;;;;;
;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;
