EVOLUCIÓ OCUPACIÓ Rural_21;;
en %;Ocupació % per places;
;Rural_21;Rural_20
Gener;2,9;10,5
Febrer;2,0;12,3
Març;;
Abril;;0,0
Maig;;
Juny;;19,5
Juliol;;35,1
Agost;;53,4
Setembre;;18,2
Octubre;;7,3
Novembre;;0,8
Desembre;;9,2
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
