VARIACIONS INTERANUALS ESTABLIMENTS HOTELERS;;;;;;;;
% var. Interanual;;;;;;;;
ESTABLIMENTS HOTELERS;domèstic;estranger;;;;;;
Viatgers;-59,54%;-89,62%;;;;;;
Pernoctacions;-51,37%;-89,25%;;;;;;
Empleats;;;-64,13%;;;;;
;;;;;;;;
HOTELS;ESTADA MITJANA;;;;;;;
Residents;2,0;;;;;;;
No residents;2,3;;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
