ESTABLIMENTS HOTELERS ANUAL 2020;;;;
;Ocupació;Viatgers;Pernoctacions;
Girona;34,5% (-21,3 pp);1.466.572 (-63,6%);3.363.935 (-72,9%);
Tarragona;32,8% (-29,4 pp);863.871 (-70,9%);1.945.506 (-81,3%);
Lleida;32,4% (-3,7 pp);492.352 (-48,3%);1.159.682 (-41,6%);
Barcelona;31,0% (-34,4 pp);2.954.881 (-76,9%);6.685.673 (-80,0%);
;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;
