SINTESI ANUAL 2020;;;;;;;;
;Número;var. Interanual (%);;;;;;
Viatgers;1.487.565;-68,6%;;;;;;
Pernoctacions;3.784.553;-73,8%;;;;;;
Empleats;3.711;-50,3%;;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;72,70;27,3;;;;;;
Pernoctacions;69,7;30,3;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
