VARIACIONS INTERANUALS - ESTABLIMENTS OBERTS;
% var. Interanual 21/20;
TIPOLOGIA;ESTABLIMENTS OBERTS
Establiments hotelers;54,3%
Càmpings;12,5%
Turisme Rural;28,9%
;
% var. Interanual 21/19;
TIPOLOGIA;ESTABLIMENTS OBERTS
Establiments hotelers;-10,3%
Càmpings;3,8%
Turisme Rural;-8,8%
;
;
;
;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;
