Begur	41.95433767	3.20707327	topo1	Begur	1
Belianes	41.56172812	1.01751148	topo1	Belianes	1
Batea	41.09446232	0.31141383	topo1	Batea	1
Bellaguarda	41.33764555	0.73595776	topo1	Bellaguarda	1
Bassella	42.00604184	1.29522908	topo1	Bassella	1
Barcelona	41.38272127	2.17703293	topo1	Barcelona	1
Bellcaire d'Urgell	41.75937145	0.90622482	topo1	Bellcaire d Urgell	1
Bellmunt d'Urgell	41.77432666	0.95209661	topo1	Bellmunt d Urgell	1
Bellmunt del Priorat	41.16525256	0.76674909	topo1	Bellmunt del Priorat	1
Benavent de Segrià	41.6959255	0.63303198	topo1	Benavent de Segrià	1
Bigues i Riells del Fai	41.67885098	2.22234828	topo1	Bigues i Riells del Fai	1
Bellvís	41.6718278	0.81747777	topo1	Bellvís	1
Bellvei	41.24129713	1.57659238	topo1	Bellvei	1
Benissanet	41.0567063	0.63459529	topo1	Benissanet	1
Bellver de Cerdanya	42.37065432	1.77435342	topo1	Bellver de Cerdanya	1
Bellpuig	41.62597958	1.0111537	topo1	Bellpuig	1
Benifallet	40.97390262	0.51780819	topo1	Benifallet	1
Biosca	41.84227768	1.35874895	topo1	Biosca	1
Bellprat	41.5171521	1.43398301	topo1	Bellprat	1
Besalú	42.19889185	2.6995121	topo1	Besalú	1
Bescanó	41.96560048	2.74216894	topo1	Bescanó	1
Biure	42.33765799	2.89499884	topo1	Biure	1
Blancafort	41.43785849	1.15925662	topo1	Blancafort	1
Bisbal del Penedès, la	41.28089741	1.48785618	topo1	la Bisbal del Penedès	0
Blanes	41.67576646	2.79240678	topo1	Blanes	1
Boadella i les Escaules	42.33005022	2.85549961	topo1	Boadella i les Escaules	1
Bisbal de Montsant, la	41.28027021	0.72336181	topo1	la Bisbal de Montsant	0
Bolvir	42.41782046	1.87989086	topo1	Bolvir	1
Bonastre	41.22080971	1.43989563	topo1	Bonastre	1
Bisbal d'Empordà, la	41.95969678	3.03855027	topo1	la Bisbal d Empordà	0
Bordils	42.04089786	2.91319144	topo1	Bordils	1
Beuda	42.23705333	2.70951599	topo1	Beuda	1
Borges Blanques, les	41.52125107	0.86771698	topo1	les Borges Blanques	0
Borges del Camp, les	41.17201808	1.01936746	topo1	les Borges del Camp	0
Borrassà	42.22279456	2.92630935	topo1	Borrassà	1
Bot	41.00915665	0.38481801	topo1	Bot	1
Cabanelles	42.23084785	2.81969803	topo1	Cabanelles	1
Botarell	41.13605157	0.98901486	topo1	Botarell	1
Breda	41.74853898	2.55695166	topo1	Breda	1
Bossòst	42.78559396	0.69201627	topo1	Bossòst	1
Bòrdes, es	42.73801874	0.71925251	topo1	Es Bòrdes	0
Cabanyes, les	41.37148025	1.68913353	topo1	les Cabanyes	0
Brull, el	41.81687675	2.30524777	topo1	el Brull	0
Brunyola i Sant Martí Sapresa	41.90520074	2.68479214	topo1	Brunyola i Sant Martí Sapresa	1
Cabanes	42.30700041	2.97828323	topo1	Cabanes	1
Bàscara	42.15973575	2.91044457	topo1	Bàscara	1
Bruc, el	41.57762008	1.78402288	topo1	el Bruc	0
Cabacés	41.24744466	0.73364862	topo1	Cabacés	1
Cabanabona	41.85163381	1.21644865	topo1	Cabanabona	1
Cabrera de Mar	41.52590089	2.39329734	topo1	Cabrera de Mar	1
Cabrera d'Anoia	41.47794178	1.70463282	topo1	Cabrera d Anoia	1
Cabra del Camp	41.39529428	1.27694329	topo1	Cabra del Camp	1
Caldes d'Estrac	41.5724984	2.52781132	topo1	Caldes d Estrac	1
Calders	41.78938243	1.9918776	topo1	Calders	1
Calaf	41.73401913	1.510944	topo1	Calaf	1
Cabó	42.238892	1.24717214	topo1	Cabó	1
Cadaqués	42.28808721	3.27586987	topo1	Cadaqués	1
Calafell	41.20115852	1.56864174	topo1	Calafell	1
Calldetenes	41.92468966	2.28454034	topo1	Calldetenes	1
Cabrils	41.52560018	2.36845048	topo1	Cabrils	1
Caldes de Montbui	41.6344595	2.1629303	topo1	Caldes de Montbui	1
Caldes de Malavella	41.8389004	2.80953726	topo1	Caldes de Malavella	1
Calella	41.61337935	2.65722401	topo1	Calella	1
Calonge i Sant Antoni	41.86175047	3.07661623	topo1	Calonge i Sant Antoni	1
Campdevànol	42.22446763	2.16721333	topo1	Campdevànol	1
Camarles	40.77214068	0.6696731	topo1	Camarles	1
Callús	41.78127786	1.78413527	topo1	Callús	1
Camarasa	41.87513124	0.87788211	topo1	Camarasa	1
Cambrils	41.07432746	1.05168803	topo1	Cambrils	1
Campins	41.72464351	2.46343099	topo1	Campins	1
Camprodon	42.31174178	2.36507827	topo1	Camprodon	1
Canet d'Adri	42.03342444	2.73702525	topo1	Canet d Adri	1
Campelles	42.29422969	2.14012804	topo1	Campelles	1
Canet de Mar	41.58932479	2.58269724	topo1	Canet de Mar	1
Canejan	42.83817812	0.73980424	topo1	Canejan	1
Camós	42.09417137	2.76719936	topo1	Camós	1
Campllong	41.89075607	2.8300761	topo1	Campllong	1
Cantallops	42.42200791	2.92531851	topo1	Cantallops	1
Canovelles	41.62183857	2.27717911	topo1	Canovelles	1
Cassà de la Selva	41.88738229	2.87423942	topo1	Cassà de la Selva	1
Caseres	41.03853899	0.25076613	topo1	Caseres	1
Capmany	42.37249324	2.92102316	topo1	Capmany	1
Castell d'Aro, Platja d'Aro i s'Agaró	41.81743684	3.07063267	topo1	Castell d Aro, Platja d Aro i s Agaró	1
Canyelles	41.28615903	1.72217102	topo1	Canyelles	1
Capafonts	41.2949715	1.0275275	topo1	Capafonts	1
Capellades	41.53116161	1.68605181	topo1	Capellades	1
Canonja, la	41.12341376	1.17909867	topo1	la Canonja	0
Cardedeu	41.6385282	2.35595311	topo1	Cardedeu	1
Carme	41.53217802	1.62011491	topo1	Carme	1
Cardona	41.91329668	1.68113098	topo1	Cardona	1
Capçanes	41.09986046	0.78153727	topo1	Capçanes	1
Castellar de la Ribera	42.02269309	1.4159991	topo1	Castellar de la Ribera	1
Castellar del Vallès	41.61726822	2.08722962	topo1	Castellar del Vallès	1
Castellcir	41.76043865	2.14971647	topo1	Castellcir	1
Castelldans	41.49774416	0.76532387	topo1	Castelldans	1
Castellet i la Gornal	41.25410512	1.58921816	topo1	Castellet i la Gornal	1
Castellfollit de la Roca	42.21926791	2.55007563	topo1	Castellfollit de la Roca	1
