CUSEC,vivienda turistica,plazas,plazas por vivienda turistica,Porcentaje vivienda turistica,PERIODO,PROV,MUN_LITERAL
0801910118,0,0,0.0,0.0,2025M11,8,Barcelona
0801906045,71,341,4.802817,7.537155,2025M11,8,Barcelona
0801910133,0,0,0.0,0.0,2025M11,8,Barcelona
0801906019,3,11,3.6666667,0.40214476,2025M11,8,Barcelona
0801910135,1,4,4.0,0.17452008,2025M11,8,Barcelona
0801910131,0,0,0.0,0.0,2025M11,8,Barcelona
0801910129,0,0,0.0,0.0,2025M11,8,Barcelona
0801906050,22,88,4.0,2.5462964,2025M11,8,Barcelona
0801910126,0,0,0.0,0.0,2025M11,8,Barcelona
0801910124,0,0,0.0,0.0,2025M11,8,Barcelona
0801906053,15,62,4.133333,1.6447369,2025M11,8,Barcelona
0801910123,0,0,0.0,0.0,2025M11,8,Barcelona
0801910119,0,0,0.0,0.0,2025M11,8,Barcelona
0801910121,2,12,6.0,0.27894002,2025M11,8,Barcelona
0801906057,27,110,4.0740743,2.56654,2025M11,8,Barcelona
0801910130,3,12,4.0,0.5154639,2025M11,8,Barcelona
0801906059,18,69,3.8333333,1.9565217,2025M11,8,Barcelona
0801910114,2,6,3.0,0.31347963,2025M11,8,Barcelona
0801910117,0,0,0.0,0.0,2025M11,8,Barcelona
0801910113,0,0,0.0,0.0,2025M11,8,Barcelona
0801906061,18,76,4.2222223,2.422611,2025M11,8,Barcelona
0801910109,1,4,4.0,0.13736264,2025M11,8,Barcelona
0801910110,0,0,0.0,0.0,2025M11,8,Barcelona
0801910108,0,0,0.0,0.0,2025M11,8,Barcelona
0801906067,10,43,4.3,0.9242144,2025M11,8,Barcelona
0801906069,8,44,5.5,1.3961606,2025M11,8,Barcelona
0801910105,4,26,6.5,0.42105263,2025M11,8,Barcelona
0801910102,0,0,0.0,0.0,2025M11,8,Barcelona
0801906063,15,60,4.0,1.6286645,2025M11,8,Barcelona
0801906071,2,8,4.0,0.4024145,2025M11,8,Barcelona
0801910101,2,5,2.5,0.28612304,2025M11,8,Barcelona
0801910103,0,0,0.0,0.0,2025M11,8,Barcelona
0801910099,1,4,4.0,0.23148148,2025M11,8,Barcelona
0801910097,3,16,5.3333335,0.42735043,2025M11,8,Barcelona
0801910079,7,36,5.142857,0.92348284,2025M11,8,Barcelona
0801906077,5,20,4.0,0.7739938,2025M11,8,Barcelona
0801906079,3,12,4.0,0.48701298,2025M11,8,Barcelona
0801910093,2,11,5.5,0.41666666,2025M11,8,Barcelona
0801906080,5,20,4.0,0.8635579,2025M11,8,Barcelona
0801906081,3,13,4.3333335,0.43103448,2025M11,8,Barcelona
0801906083,3,12,4.0,0.34285715,2025M11,8,Barcelona
0801910088,0,0,0.0,0.0,2025M11,8,Barcelona
0801910085,1,5,5.0,0.12315271,2025M11,8,Barcelona
0801910084,2,6,3.0,0.2980626,2025M11,8,Barcelona
0801906084,3,13,4.3333335,0.3841229,2025M11,8,Barcelona
0801910083,0,0,0.0,0.0,2025M11,8,Barcelona
0801910082,2,8,4.0,0.2766252,2025M11,8,Barcelona
0801906087,1,4,4.0,0.103950106,2025M11,8,Barcelona
0801907001,1,6,6.0,0.14144272,2025M11,8,Barcelona
0801910075,3,26,8.666667,0.42553192,2025M11,8,Barcelona
0801910077,16,83,5.1875,1.9704434,2025M11,8,Barcelona
0801907005,3,12,4.0,0.3916449,2025M11,8,Barcelona
0801910074,3,12,4.0,0.36231884,2025M11,8,Barcelona
0801910070,7,30,4.285714,0.83432657,2025M11,8,Barcelona
0801910072,15,77,5.133333,1.6146394,2025M11,8,Barcelona
0801910071,17,71,4.1764708,2.0286396,2025M11,8,Barcelona
0801910069,8,34,4.25,0.610687,2025M11,8,Barcelona
0801907009,1,4,4.0,0.16977929,2025M11,8,Barcelona
0801910067,2,9,4.5,0.25740024,2025M11,8,Barcelona
0801910066,1,8,8.0,0.10718114,2025M11,8,Barcelona
0801910063,2,10,5.0,0.39370078,2025M11,8,Barcelona
0801907015,1,4,4.0,0.1633987,2025M11,8,Barcelona
0801910062,5,25,5.0,0.65189046,2025M11,8,Barcelona
0801907017,1,4,4.0,0.11820331,2025M11,8,Barcelona
0801910061,14,49,3.5,1.7094017,2025M11,8,Barcelona
0801910055,26,156,6.0,2.0866773,2025M11,8,Barcelona
0801910057,14,57,4.071429,1.8592298,2025M11,8,Barcelona
0801910056,30,117,3.9,2.8735633,2025M11,8,Barcelona
0801910050,5,40,8.0,0.64599484,2025M11,8,Barcelona
0801910052,13,60,4.6153846,1.142355,2025M11,8,Barcelona
0801910068,2,9,4.5,0.3030303,2025M11,8,Barcelona
0801910051,12,57,4.75,1.6551725,2025M11,8,Barcelona
0801910045,5,14,2.8,0.86206895,2025M11,8,Barcelona
0801907027,2,8,4.0,0.2183406,2025M11,8,Barcelona
0801907028,1,4,4.0,0.147929,2025M11,8,Barcelona
