Castellterçol	Barcelona	10
Castellvell del Camp	Tarragona	11
Castellví de Rosanes	Barcelona	4
Castellví de la Marca	Barcelona	7
Castelló d'Empúries	Girona	3667
Castelló de Farfanya	Lleida	2
Catllar, el	Tarragona	42
Cava	Lleida	4
Cellera de Ter, la	Girona	9
Celrà	Girona	15
Centelles	Barcelona	8
Cerdanyola del Vallès	Barcelona	11
Cervelló	Barcelona	15
Cervera	Lleida	8
Cervià de Ter	Girona	2
Cervià de les Garrigues	Lleida	7
Cistella	Girona	15
Clariana de Cardener	Lleida	1
Colera	Girona	132
Coll de Nargó	Lleida	24
Collbató	Barcelona	22
Colldejou	Tarragona	6
Collsuspina	Barcelona	7
Colomers	Girona	7
Coma i la Pedra, la	Lleida	24
Conca de Dalt	Lleida	17
Conesa	Tarragona	2
Constantí	Tarragona	7
Copons	Barcelona	3
Corbera d'Ebre	Tarragona	12
Corbera de Llobregat	Barcelona	35
Corbins	Lleida	2
Cornellà de Llobregat	Barcelona	89
Cornellà del Terri	Girona	25
Cornudella de Montsant	Tarragona	58
Corçà	Girona	45
Creixell	Tarragona	256
Crespià	Girona	7
Cruïlles, Monells i Sant Sadurní de l'Heura	Girona	74
Cubelles	Barcelona	752
Cubells	Lleida	7
Cunit	Tarragona	651
Cànoves i Samalús	Barcelona	9
Darnius	Girona	15
Das	Girona	17
Deltebre	Tarragona	858
Dosrius	Barcelona	22
Duesaigües	Tarragona	12
Escala, l'	Girona	3192
Esparreguera	Barcelona	4
Espinelves	Girona	18
Espluga Calba, l'	Lleida	2
Espluga de Francolí, l'	Tarragona	27
Esplugues de Llobregat	Barcelona	18
Espolla	Girona	7
Esponellà	Girona	12
Espot	Lleida	84
Esquirol, l'	Barcelona	27
Estamariu	Lleida	1
Estany, l'	Barcelona	4
Esterri d'Àneu	Lleida	192
Esterri de Cardós	Lleida	3
Falset	Tarragona	19
Far d'Empordà, el	Girona	1
Farrera	Lleida	9
Fatarella, la	Tarragona	4
Febró, la	Tarragona	1
Figaró-Montmany	Barcelona	3
Figuera, la	Tarragona	4
Figueres	Girona	306
Figuerola del Camp	Tarragona	3
Flaçà	Girona	3
Flix	Tarragona	7
Fogars de Montclús	Barcelona	13
Foixà	Girona	26
Fonollosa	Barcelona	4
Font-rubí	Barcelona	12
Fontanals de Cerdanya	Girona	64
Fontanilles	Girona	9
Fontcoberta	Girona	13
Foradada	Lleida	13
Forallac	Girona	106
Fornells de la Selva	Girona	12
Fortià	Girona	6
Forès	Tarragona	3
Franqueses del Vallès, les	Barcelona	7
Freginals	Tarragona	2
Fuliola, la	Lleida	3
Fulleda	Lleida	1
Fígols i Alinyà	Lleida	8
Gaià	Barcelona	1
Galera, la	Tarragona	13
Gallifa	Barcelona	1
Gandesa	Tarragona	10
Garcia	Tarragona	1
Garidells, els	Tarragona	1
Garriga, la	Barcelona	20
Garrigoles	Girona	9
Garriguella	Girona	34
Garrigàs	Girona	18
Gavet de la Conca	Lleida	14
Gavà	Barcelona	246
Gelida	Barcelona	11
Ger	Girona	55
Ginestar	Tarragona	2
Girona	Girona	761
Godall	Tarragona	8
Golmés	Lleida	1
Gombrèn	Girona	8
Granada, la	Barcelona	2
Granadella, la	Lleida	4
Granera	Barcelona	3
Granollers	Barcelona	17
Granyena de Segarra	Lleida	2
Gratallops	Tarragona	11
Gualba	Barcelona	22
Gualta	Girona	33
Guils de Cerdanya	Girona	45
Guimerà	Lleida	5
Guingueta d'Àneu, la	Lleida	31
Guixers	Lleida	6
Gurb	Barcelona	3
Gósol	Lleida	14
Horta de Sant Joan	Tarragona	38
Hospitalet de Llobregat, l'	Barcelona	524
Hostalets de Pierola, els	Barcelona	2
Hostalric	Girona	13
Igualada	Barcelona	44
Isona i Conca Dellà	Lleida	22
Isòvol	Girona	42
Ivars d'Urgell	Lleida	1
Ivars de Noguera	Lleida	3
Jafre	Girona	9
Jonquera, la	Girona	7
Jorba	Barcelona	2
Josa i Tuixén	Lleida	5
Juià	Girona	7
Juncosa	Lleida	8
Juneda	Lleida	3
Les	Lleida	45
Linyola	Lleida	4
Llacuna, la	Barcelona	13
Lladorre	Lleida	3
Lladurs	Lleida	2
Lladó	Girona	21
Llagostera	Girona	46
Llambilles	Girona	9
Llanars	Girona	27
Llançà	Girona	1685
Llardecans	Lleida	1
Llavorsí	Lleida	46
Lleida	Lleida	91
Llers	Girona	8
Lles de Cerdanya	Lleida	8
Llimiana	Lleida	6
Llinars del Vallès	Barcelona	10
Lliçà d'Amunt	Barcelona	19
Lliçà de Vall	Barcelona	3
Lloar, el	Tarragona	4
Llorac	Tarragona	3
Llorenç del Penedès	Tarragona	8
Lloret de Mar	Girona	3125
Llosses, les	Girona	8
Lluçà	Barcelona	2
Llívia	Girona	104
Madremanya	Girona	23
Maià de Montcal	Girona	12
Maldà	Lleida	4
Malgrat de Mar	Barcelona	380
Malla	Barcelona	1
Manresa	Barcelona	156
Margalef	Tarragona	24
Marganell	Barcelona	5
Martorell	Barcelona	5
Martorelles	Barcelona	2
Marçà	Tarragona	11
Mas de Barberans	Tarragona	4
Masarac i Vilarnadal	Girona	6
Masdenverge	Tarragona	4
Masllorenç	Tarragona	4
Masnou, el	Barcelona	135
Maspujols	Tarragona	6
Masquefa	Barcelona	4
Masroig, el	Tarragona	5
Massanes	Girona	5
Massoteres	Lleida	2
Matadepera	Barcelona	13
Mataró	Barcelona	174
Maçanet de Cabrenys	Girona	29
Maçanet de la Selva	Girona	139
Mediona	Barcelona	11
Menàrguens	Lleida	1
Meranges	Girona	1
Mieres	Girona	8
Miravet	Tarragona	17
Moià	Barcelona	13
Molins de Rei	Barcelona	6
Mollerussa	Lleida	5
Mollet de Peralada	Girona	2
Mollet del Vallès	Barcelona	2
Molló	Girona	32
Monistrol de Calders	Barcelona	3
Monistrol de Montserrat	Barcelona	27
Mont-ral	Tarragona	9
Mont-ras	Girona	78
Mont-roig del Camp	Tarragona	2985
Montagut i Oix	Girona	22
Montblanc	Tarragona	45
Montbrió del Camp	Tarragona	16
Montcada i Reixac	Barcelona	13
Montellà i Martinet	Lleida	48
Montesquiu	Barcelona	4
Montferrer i Castellbó	Lleida	27
Montferri	Tarragona	2
Montgai	Lleida	1
Montgat	Barcelona	68
Montmaneu	Barcelona	1
Montmell, el	Tarragona	34
Montmeló	Barcelona	1
Montoliu de Segarra	Lleida	2
Montornès de Segarra	Lleida	2
Montornès del Vallès	Barcelona	1
Montseny	Barcelona	14
Morell, el	Tarragona	3
Morera de Montsant, la	Tarragona	10
Muntanyola	Barcelona	3
Mura	Barcelona	5
Móra d'Ebre	Tarragona	25
Móra la Nova	Tarragona	8
Nalec	Lleida	4
Naut Aran	Lleida	1269
Navarcles	Barcelona	1
Navata	Girona	90
Navàs	Barcelona	7
Navès	Lleida	6
