N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
06-2014-0616,06,GRACIA,31,la Vila de Gràcia,Carrer,SANT DOMENEC,1,9,,,,,,,02,1,HUTB-012478,5,"2,15649869680372","41,3998718514829"
06-2014-0617,06,GRACIA,31,la Vila de Gràcia,Carrer,SANT DOMENEC,1,9,,,,,,,02,2,HUTB-012479,6,"2,15649869680372","41,3998718514829"
06-2014-0633,06,GRACIA,29,el Coll,Carrer,FONT DEL REMEI,1,29,,,,,,,01,1,HUTB-012408,6,"2,15027203626809","41,4188544968596"
06-2014-0636,06,GRACIA,29,el Coll,Carrer,BEAT ALMATO,2,76,,,,,,,EN,3,HUTB-012373,2,"2,14905276433723","41,4189582313714"
06-2014-0660,06,GRACIA,29,el Coll,Carrer,PAU FERRAN,1,1,,,,,,,02,1,HUTB-012605,5,"2,14934382424839","41,4175916376964"
06-2014-0664,06,GRACIA,28,Vallcarca i els Penitents,Carrer,BARO DE LA BARRE,2,40,,,,,,,BJ,,HUTB-012564,14,"2,14276699061949","41,4161800382116"
06-2014-0722,06,GRACIA,28,Vallcarca i els Penitents,Carrer,SANT EUDALD,2,4,,,,,,,BJ,,HUTB-013044,7,"2,14513805874231","41,4135028735126"
06-2014-0723,06,GRACIA,28,Vallcarca i els Penitents,Carrer,SANT EUDALD,2,4,,,,,,,01,,HUTB-013042,8,"2,14513805874231","41,4135028735126"
06-2014-0725,06,GRACIA,28,Vallcarca i els Penitents,Carrer,SANT EUDALD,2,4,,,,,,,02,,HUTB-013043,8,"2,14513805874231","41,4135028735126"
06-2014-0732,06,GRACIA,29,el Coll,Carrer,PAU FERRAN,1,1,,,,,,,02,3,HUTB-012977,5,"2,14934382424839","41,4175916376964"
06-2014-0733,06,GRACIA,29,el Coll,Carrer,MORA LA NOVA,2,16,,,,,,,01,,HUTB-012973,10,"2,1502334894039","41,4192026655845"
06-2014-0741,06,GRACIA,31,la Vila de Gràcia,Carrer,SENECA,1,7,,,,,,,5,3,HUTB-013052,4,"2,15689319448877","41,3972163445639"
06-2014-0778,06,GRACIA,29,el Coll,Carrer,MORA D'EBRE,2,84,,,,,,,BJ,1,HUTB-013206,4,"2,14938257313441","41,4187047324573"
06-2016-0228,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Passeig,SANT JOAN,2,144,,,,,,,EN,3,HUTB- 077317,5,"2,16691381161255","41,4017388375671"
06-2016-0259,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Passeig,AMUNT,1,43,,47,,,,,EN,2,HUTB-079387,4,"2,16099379305116","41,4107028309358"
06-2016-0260,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,PAU ALSINA,1,71,,73,,,,,EN,1,HUTB-079388,6,"2,16262346892634","41,409677213847"
06-2016-0261,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,CA L'ALEGRE DE DALT,1,13,,,,,,,EN,1,HUTB-079389,4,"2,16265524707721","41,4074232432746"
06-2016-0267,06,GRACIA,31,la Vila de Gràcia,Carrer,PROVIDENCIA,1,65,,,,,,,EN,01,HUTB-079390,,"2,15793551223641","41,4073482003053"
06-2016-0321,06,GRACIA,31,la Vila de Gràcia,Carrer,SANTA PERPETUA,2,6,,,,,,,6,1,HUTB-078230,8,"2,15166563362758","41,4074483143643"
06-2016-0381,06,GRACIA,31,la Vila de Gràcia,Carrer,SANT PERE MARTIR,2,44,,,,,,,1,1,HUTB-077813,3,"2,15696957451842","41,3998637279574"
06-2019-0370,06,GRACIA,31,la Vila de Gràcia,Carrer,MAURICI SERRAHIMA,1,9,,,,,,,EN,3,,,"2,15165159510175","41,4053240949391"
06-2019-0371,06,GRACIA,31,la Vila de Gràcia,Carrer,MAURICI SERRAHIMA,1,9,,,,,,,EN,2,,,"2,15165159510175","41,4053240949391"
06-2019-0372,06,GRACIA,31,la Vila de Gràcia,Carrer,JOAN BLANQUES,2,48,,,,,,,AT,2,,,"2,15983532510799","41,4058961040581"
06-2020-0073,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,1,29,,,,,,,1,2A,,,"2,15663722029726","41,3977857506968"
06-2023-0101,06,GRACIA,31,la Vila de Gràcia,Carrer,SANTA TECLA,1,7,,,,,,,3,2,HUTB-069356,3,"2,16046500281315","41,3980018114898"
