N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
01-2009-0354,01,CIUTAT VELLA,01,el Raval,Carrer,SANT JOSEP ORIOL,1,19,,,,,,,01,1,HUTB-002222,3,"2,17017206787341","41,3784454355655"
01-2011-0123,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,1,,HUTB-003654,3,"2,18200417667745","41,3828840594187"
01-2011-0137,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,01,2,HUTB-001678,3,"2,17308601359367","41,3822240718426"
01-2011-0152,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,2,,HUTB-003650,3,"2,18200417667745","41,3828840594187"
01-2011-0157,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Plaça,OLLES,1,9,B,,,,,,01,2,HUTB-002534,9,"2,18330533470055","41,3836849458057"
01-2011-0160,01,CIUTAT VELLA,01,el Raval,Carrer,JOVELLANOS,1,1,,,,,,,PR,2,HUTB-000935,8,"2,16791052480686","41,385019815186"
01-2011-0170,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,02,2,HUTB-001679,3,"2,17308601359367","41,3822240718426"
01-2011-0171,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,03,2,HUTB-001681,3,"2,17308601359367","41,3822240718426"
01-2011-0172,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,04,2,HUTB-001685,3,"2,17308601359367","41,3822240718426"
01-2011-0173,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,05,2,HUTB-001686,3,"2,17308601359367","41,3822240718426"
01-2011-0192,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,05,,HUTB-013223,4,"2,17883430924802","41,3848227965769"
01-2011-0193,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,01,1,HUTB-002459,5,"2,17367913693235","41,3784423179871"
01-2011-0194,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,01,2,HUTB-002460,6,"2,17367913693235","41,3784423179871"
01-2011-0195,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,02,1,HUTB-002461,5,"2,17367913693235","41,3784423179871"
01-2011-0196,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,02,2,HUTB-002462,6,"2,17367913693235","41,3784423179871"
01-2011-0197,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,03,1,HUTB-002463,5,"2,17367913693235","41,3784423179871"
01-2011-0198,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,03,2,HUTB-002464,6,"2,17367913693235","41,3784423179871"
01-2011-0199,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,04,1,HUTB-002465,5,"2,17367913693235","41,3784423179871"
01-2011-0200,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,04,2,HUTB-002466,6,"2,17367913693235","41,3784423179871"
01-2011-0201,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,05,1,HUTB-002467,5,"2,17367913693235","41,3784423179871"
01-2011-0202,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,05,2,HUTB-002468,6,"2,17367913693235","41,3784423179871"
01-2011-0254,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,BJ,,HUTB-002228,6,"2,18874739928066","41,3787961823306"
01-2011-0255,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,1,,HUTB-002237,6,"2,18874739928066","41,3787961823306"
01-2011-0256,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,2,,HUTB-002226,6,"2,18874739928066","41,3787961823306"
01-2011-0257,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,3,,HUTB-002227,6,"2,18874739928066","41,3787961823306"
01-2011-0409,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,AVINYO,2,58,,,,,,,PR,3B,HUTB-013215,10,"2,1792879921103","41,3801857821536"
01-2011-0546,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,AT,,HUTB-000909,5,"2,16471120314601","41,3834719060871"
01-2011-0547,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,03,,HUTB-000911,8,"2,16471120314601","41,3834719060871"
01-2012-0158,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,RELLOTGE,2,2,,,,,,,EN,1,HUTB-001632,11,"2,17719765198566","41,380064394068"
01-2012-0164,01,CIUTAT VELLA,01,el Raval,Carrer,HOSPITAL,1,133,,,,,,,PR,2,HUTB-000727,12,"2,16747917213483","41,3795569595001"
01-2012-0166,01,CIUTAT VELLA,01,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,3,HUTB-002124,2,"2,16469317300152","41,3785856107149"
01-2012-0167,01,CIUTAT VELLA,01,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,4,HUTB-002125,3,"2,16469317300152","41,3785856107149"
01-2012-0185,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,01,1,HUTB-013111,3,"2,17449943206438","41,3806515630941"
01-2012-0186,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,01,2,HUTB-013112,4,"2,17449943206438","41,3806515630941"
01-2012-0187,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,01,3,HUTB-013113,5,"2,17449943206438","41,3806515630941"
01-2012-0188,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,02,1,HUTB-013114,6,"2,17449943206438","41,3806515630941"
01-2012-0189,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,02,2,HUTB-013115,4,"2,17449943206438","41,3806515630941"
01-2012-0190,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,02,3,HUTB-013116,5,"2,17449943206438","41,3806515630941"
01-2012-0191,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,03,1,HUTB-013117,6,"2,17449943206438","41,3806515630941"
01-2012-0192,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,03,2,HUTB-014595,4,"2,17449943206438","41,3806515630941"
01-2012-0193,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,03,3,HUTB-013119,5,"2,17449943206438","41,3806515630941"
01-2012-0203,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,PORTAL NOU,1,35,,,,,,,03,2,HUTB-002786,3,"2,18075205279705","41,3890801947205"
01-2012-0209,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,EN,2,HUTB-003352,5,"2,1740360911743","41,3869374396681"
01-2012-0210,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,1,HUTB-003353,2,"2,1740360911743","41,3869374396681"
01-2012-0211,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,2,HUTB-003354,5,"2,1740360911743","41,3869374396681"
01-2012-0212,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,01,1,HUTB-003348,2,"2,1740360911743","41,3869374396681"
01-2012-0213,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,02,1,HUTB-003349,2,"2,1740360911743","41,3869374396681"
01-2012-0214,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,02,2,HUTB-003350,2,"2,1740360911743","41,3869374396681"
01-2012-0317,01,CIUTAT VELLA,02,el Barri Gòtic,Passeig,COLOM,2,2,,,,,,,04,B,HUTB-003340,4,"2,18139300191678","41,380913704225"
01-2012-0440,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,01,1,HUTB-001506,9,"2,17623422219989","41,3797817626377"
01-2012-0441,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,02,,HUTB-013139,4,"2,17220376488025","41,3791536577735"
01-2012-0442,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,01,,HUTB-013138,4,"2,17220376488025","41,3791536577735"
01-2012-0443,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,PR,,HUTB-013137,4,"2,17220376488025","41,3791536577735"
01-2012-0446,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,VOLTA D'EN COLOMINES,1,3,,,,,,,01,,HUTB-013147,4,"2,17914131398488","41,3845668496808"
01-2012-0450,01,CIUTAT VELLA,01,el Raval,Carrer,TIGRE,2,4,,,,,,,02,1,HUTB-001174,6,"2,16496154223015","41,3828776507513"
01-2012-0464,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESQUIROL,2,4,,,,,,,02,2,HUTB-000139,3,"2,17972443785532","41,3843507382699"
01-2012-0465,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,6,,,,,,,01,1,HUTB-002445,7,"2,17432038986819","41,3792323592535"
01-2012-0468,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FLOR,1,5,,,,,,,02,2,HUTB-000191,7,"2,17276427287011","41,3851496345785"
01-2012-0469,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,CONSOLAT DE MAR,1,15,,,,,,,01,2,HUTB-003501,7,"2,18189686726965","41,3821441573354"
01-2012-0486,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,2,8,,,,,,,03,3,HUTB-001628,7,"2,17527411799697","41,3804661676554"
01-2012-0492,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESPASERIA,1,7,,,,,,,1,,HUTB-012817,2,"2,18233849427832","41,3833235525156"
01-2012-0513,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,MONTANYANS,2,6,,8,,,,,04,1,HUTB-002370,3,"2,18012304681155","41,3873806088343"
01-2012-0514,01,CIUTAT VELLA,01,el Raval,Plaça,EMILI VENDRELL,1,1,,,,,,,03,1,HUTB-003091,2,"2,16685073094614","41,3812437530549"
01-2012-0516,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,31,,,,,,,04,2,HUTB-002481,4,"2,17312865291471","41,3779148642194"
01-2012-0522,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,BOT,1,11,,,,,,,03,2,HUTB-004062,3,"2,17214268332247","41,3839472726715"
01-2012-0523,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PESCADORS,1,85,,,,,,,03,2,HUTB-002716,3,"2,18997292001453","41,3761773910849"
01-2012-0524,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,TRAFALGAR,2,70,,,,,,,04,C,HUTB-001218,9,"2,17885098924054","41,3905616108028"
01-2012-0537,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,03,,HUTB-013140,4,"2,17220376488025","41,3791536577735"
01-2012-0538,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,04,,HUTB-013141,4,"2,17220376488025","41,3791536577735"
01-2012-0541,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,PORTAL DE LA PAU,2,4,,,,,,,01,2,HUTB-013133,11,"2,17744408943804","41,376819870528"
01-2012-0555,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,AGLA,2,4,,,,,,,01,1,HUTB-002416,7,"2,1763986135654","41,3801086964823"
01-2012-0557,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,VOLTA D'EN BUFANALLA,1,3,,,,,,,06,,HUTB-001588,4,"2,18272073366818","41,3840405013351"
01-2012-0559,01,CIUTAT VELLA,01,el Raval,Carrer,TALLERS,2,76,,,,,,,EN,2,HUTB-001780,4,"2,16503788024198","41,3851728689239"
01-2012-0560,01,CIUTAT VELLA,01,el Raval,Carrer,VALLDONZELLA,1,7,,,,,,,EN,3,HUTB-001434,5,"2,1664528349034","41,3846259680178"
01-2012-0567,01,CIUTAT VELLA,03,la Barceloneta,Passeig,JOAN BORBO COMTE BARCELONA,2,50,,,,,,,04,1,HUTB-000837,4,"2,18864181085563","41,3774464251389"
01-2012-0568,01,CIUTAT VELLA,03,la Barceloneta,Passeig,JOAN BORBO COMTE BARCELONA,2,50,,,,,,,04,4,HUTB-000838,4,"2,18864181085563","41,3774464251389"
01-2012-0573,01,CIUTAT VELLA,01,el Raval,Carrer,UNIO,1,23,,,,,,,PR,1,HUTB-001243,11,"2,17290708166739","41,3789804113178"
01-2012-0578,01,CIUTAT VELLA,01,el Raval,Carrer,SALVADOR,1,1,,,,,,,02,2,HUTB-009483,4,"2,16440049637968","41,3789326983586"
01-2012-0595,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ESPOLSA-SACS,2,4,,,,,,,EN,1,HUTB-000135,4,"2,17331803174371","41,3863021264333"
01-2012-0598,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,CIRERA,2,2,,,,,,,01,,HUTB-003331,6,"2,18192744443875","41,3851463558113"
01-2012-0602,01,CIUTAT VELLA,01,el Raval,Carrer,CARME,1,69,,,,,,,05,1,HUTB-002974,6,"2,16773378272323","41,3807002614006"
01-2012-0603,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,PORTAL NOU,1,57,,,,,,,03,1,HUTB-002787,4,"2,18084166685759","41,3896173200583"
01-2012-0628,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,02,,HUTB-000071,4,"2,17883430924802","41,3848227965769"
01-2012-0629,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,CARDERS,1,23,,,,,,,01,2,HUTB-002957,8,"2,18014456337352","41,3867246728552"
01-2012-0636,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,03,,HUTB-000072,4,"2,17883430924802","41,3848227965769"
01-2012-0637,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,EN,,HUTB-000073,2,"2,17883430924802","41,3848227965769"
01-2012-0642,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,SALOMO BEN ADRET,2,14,,,,,,,EN,2,HUTB-002194,6,"2,17549248082489","41,3828947999756"
01-2012-0648,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,EN,1A,HUTB-002457,4,"2,17414046480003","41,3790604205025"
01-2012-0649,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,EN,1B,HUTB-002458,5,"2,17414046480003","41,3790604205025"
01-2012-0650,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,01,1A,HUTB-002451,4,"2,17414046480003","41,3790604205025"
01-2012-0651,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,01,1B,HUTB-002452,5,"2,17414046480003","41,3790604205025"
01-2012-0652,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,02,1B,HUTB-002454,5,"2,17414046480003","41,3790604205025"
01-2012-0653,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,02,1A,HUTB-002453,4,"2,17414046480003","41,3790604205025"
01-2012-0654,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,03,1A,HUTB-002455,4,"2,17414046480003","41,3790604205025"
01-2012-0655,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,03,1B,HUTB-002456,5,"2,17414046480003","41,3790604205025"
01-2012-0666,01,CIUTAT VELLA,01,el Raval,Carrer,RAMBLA,1,73,,,,,,,02,2,HUTB-000951,14,"2,17305513069546","41,3811075749653"
01-2012-0669,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,02,1,HUTB-003079,8,"2,17864634393161","41,3777240679119"
01-2012-0670,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,02,2,HUTB-003080,8,"2,17864634393161","41,3777240679119"
01-2012-0671,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,03,1,HUTB-003081,8,"2,17864634393161","41,3777240679119"
01-2012-0672,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,03,2,HUTB-003082,8,"2,17864634393161","41,3777240679119"
01-2012-0673,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,04,1,HUTB-003083,8,"2,17864634393161","41,3777240679119"
01-2012-0674,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,04,2,HUTB-003084,8,"2,17864634393161","41,3777240679119"
01-2012-0675,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,CATALUNYA,1,21,,,,,,,07,2,HUTB-003294,6,"2,1707166376321","41,3859122437592"
01-2012-0676,01,CIUTAT VELLA,01,el Raval,Carrer,TALLERS,1,1,,,,,,,PR,,HUTB-001775,12,"2,17014452094058","41,3846666674796"
01-2012-0684,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,1,1,HUTB-015726,3,"2,17422117734241","41,3855622489384"
01-2012-0685,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,1,2,HUTB-075263,3,"2,17422117734241","41,3855622489384"
01-2012-0686,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,2,1,HUTB-075262,3,"2,17422117734241","41,3855622489384"
01-2012-0687,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,2,2,HUTB-075261,3,"2,17422117734241","41,3855622489384"
01-2012-0688,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,3,1,HUTB-075260,3,"2,17422117734241","41,3855622489384"
01-2012-0689,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,3,2,HUTB-075256,3,"2,17422117734241","41,3855622489384"
01-2012-0690,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,4,1,HUTB-075254,3,"2,17422117734241","41,3855622489384"
01-2012-0691,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,4,2,HUTB-075252,3,"2,17422117734241","41,3855622489384"
01-2012-0705,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,CALDERS,2,4,,,,,,,05,,HUTB-002906,5,"2,18310480690395","41,3845657277982"
01-2013-0010,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,1,4,HUTB-001507,6,"2,17623422219989","41,3797817626377"
01-2013-0011,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,3,4,HUTB-001508,7,"2,17623422219989","41,3797817626377"
01-2013-0018,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,PALLA,1,13,,17,,,,,01,5,HUTB-002565,6,"2,17441642779802","41,3832731647452"
01-2013-0027,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,OBRADORS,1,13,,,,,,,01,1,HUTB-002524,4,"2,17732106661937","41,3796282224122"
01-2013-0028,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,POU DE LA FIGUERA,2,16,,,,,,,03,,HUTB-002791,4,"2,18009311175612","41,387700306365"
01-2013-0029,01,CIUTAT VELLA,01,el Raval,Carrer,CARRETES,1,1,,,,,,,02,1,HUTB-002977,3,"2,16585012607245","41,3784742754825"
01-2013-0051,01,CIUTAT VELLA,03,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,BJ,,HUTB-000681,2,"2,19035134395498","41,3794984377429"
01-2013-0052,01,CIUTAT VELLA,03,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,1,,HUTB-000682,2,"2,19035134395498","41,3794984377429"
01-2013-0053,01,CIUTAT VELLA,03,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,2,,HUTB-000683,2,"2,19035134395498","41,3794984377429"
01-2013-0054,01,CIUTAT VELLA,03,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,3,,HUTB-000684,2,"2,19035134395498","41,3794984377429"
01-2013-0055,01,CIUTAT VELLA,03,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,4,,HUTB-000685,2,"2,19035134395498","41,3794984377429"
01-2013-0056,01,CIUTAT VELLA,03,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,5,,HUTB-000686,2,"2,19035134395498","41,3794984377429"
01-2013-0064,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,FLASSADERS,1,31,,,,,,,1,1,HUTB-000183,6,"2,18233390392008","41,3852794845606"
01-2013-0071,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,EN,,HUTB-003022,3,"2,17791086311863","41,3834011486887"
01-2013-0072,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,PR,,HUTB-003023,3,"2,17791086311863","41,3834011486887"
01-2013-0073,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,02,,HUTB-003024,3,"2,17791086311863","41,3834011486887"
01-2013-0074,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,1,,HUTB-003025,3,"2,17791086311863","41,3834011486887"
01-2013-0082,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,RELLOTGE,2,2,,,,,,,02,1,HUTB-001631,17,"2,17719765198566","41,380064394068"
01-2013-0104,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,RAURIC,2,6,,,,,,,01,,HUTB-001596,14,"2,17480464417448","41,3813564380617"
01-2013-0105,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,PR,1,HUTB-001509,9,"2,17623422219989","41,3797817626377"
01-2013-0106,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,2,1,HUTB-001623,8,"2,17470576569957","41,3801559179923"
01-2013-0107,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,2,2,HUTB-001624,7,"2,17470576569957","41,3801559179923"
01-2013-0108,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,2,3,HUTB-001625,6,"2,17470576569957","41,3801559179923"
01-2013-0109,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,3,1,HUTB-001626,11,"2,17470576569957","41,3801559179923"
01-2013-0117,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,NOU DE SANT FRANCESC,1,7,,,,,,,03,2,HUTB-002509,8,"2,17702408563738","41,3792459632107"
01-2013-0130,01,CIUTAT VELLA,01,el Raval,Carrer,AURORA,1,25,,,,,,,02,3,HUTB-003876,4,"2,16715821799874","41,3779874811025"
01-2013-0131,01,CIUTAT VELLA,01,el Raval,Carrer,AURORA,1,11,B,,,,,,02,1,HUTB-013577,6,"2,16808911806216","41,3786441888886"
01-2013-0132,01,CIUTAT VELLA,01,el Raval,Carrer,AURORA,1,11,,,,,,,01,1,HUTB-013579,9,"2,16823411182539","41,3787499585243"
01-2013-0135,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,6,,,,,,,01,2,HUTB-002446,3,"2,17432038986819","41,3792323592535"
01-2013-0137,01,CIUTAT VELLA,02,el Barri Gòtic,Passeig,COLOM,1,5,,,,,,,01,2,HUTB-003346,9,"2,18121310276147","41,3806987567858"
01-2013-0147,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,EN,1,HUTB-000905,6,"2,16628633472241","41,3821320219285"
01-2013-0148,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,EN,2,HUTB-000906,4,"2,16628633472241","41,3821320219285"
01-2013-0149,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,2,1,HUTB-000899,6,"2,16628633472241","41,3821320219285"
01-2013-0150,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,2,2,HUTB-000900,4,"2,16628633472241","41,3821320219285"
01-2013-0151,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,3,1,HUTB-000901,6,"2,16628633472241","41,3821320219285"
01-2013-0152,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,3,2,HUTB-000902,4,"2,16628633472241","41,3821320219285"
01-2013-0153,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,4,1,HUTB-000903,6,"2,16628633472241","41,3821320219285"
01-2013-0154,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,4,2,HUTB-000904,4,"2,16628633472241","41,3821320219285"
01-2013-0160,01,CIUTAT VELLA,01,el Raval,Carrer,RAMBLA,1,15,,,,,,,02,2,HUTB-000941,6,"2,17569647455123","41,377835898247"
01-2013-0184,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Via,LAIETANA,2,54,,,,,,,AT,1,HUTB-000986,7,"2,17467047354299","41,387267505163"
01-2013-0208,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,BANYS NOUS,2,6,,,,,,,02,,HUTB-004008,12,"2,17524418019585","41,3821048805798"
01-2013-0213,01,CIUTAT VELLA,01,el Raval,Carrer,GUARDIA,2,8,,,,,,,EN,1,HUTB-000694,3,"2,17375962260335","41,3779101728555"
