42.167,0.89445	2523401001	1.3793104
41.40796,2.16683	0801906078	1.7173052
41.39881,2.15883	0801906045	7.537155
41.85176,3.12494	1711803003	1.7226529
41.19608,1.59341	4303702002	2.5605536
41.06745,1.09034	4303802006	4.783163
41.19127,1.60318	4303703004	1.5407629
41.26492,1.94737	0805604004	2.4571855
42.29193,3.27906	1703201001	12.95164
41.92013,3.15689	1711703002	2.1612635
41.39144,2.141	0801904019	0.5934718
42.27036,2.96201	1706602002	1.6184971
42.36236,3.15036	1709201003	2.4489796
40.81114,0.70892	4390601001	4.8650703
42.17361,2.96613	1711901001	3.7037036
41.39567,2.2005	0801910056	2.8735633
41.53543,2.44457	0812101001	0.7709251
42.00764,3.19349	1719901007	11.568627
41.19305,1.59303	4303702002	2.5605536
41.68738,2.43466	0825901002	0.46860355
41.70312,2.87761	1709502003	11.281337
42.29493,3.17538	1715201006	4.6480145
42.25766,3.18296	1715202003	14.349944
41.38777,2.16032	0801902091	3.35097
41.35184,1.78216	0801301001	1.2249444
42.11379,3.14496	1706201005	7.467773
41.82699,3.074	1704801004	7.2619877
41.21731,1.73438	0830702007	0.76206607
41.67514,2.79381	1702301002	3.0062394
42.11453,3.13515	1706201002	6.0994363
41.85074,3.1201	1711802002	2.6172302
41.61781,2.6719	0816301006	1.2724551
42.12149,3.13054	1706201004	2.907916
41.22685,1.78821	0827001003	2.2130015
42.10242,3.1413	1706201005	7.467773
41.60224,2.62725	0823501002	3.6515055
41.66321,2.78161	1702301006	4.481793
41.38869,2.15138	0801902103	1.5825915
40.80192,0.69682	4390601001	4.8650703
41.0765,1.12729	4390501004	4.5377007
41.98443,3.19679	1712401001	11.1306095
41.1409,1.40275	4315301002	5.4678006
41.98665,2.82462	1707904001	9.670079
41.06529,1.17853	4390501001	10.225656
41.70882,2.88775	1709502003	11.281337
41.07135,1.09923	4303802006	4.783163
41.80806,2.26164	0826901001	0.67618334
40.82635,0.73743	4310401002	3.4927459
41.06179,1.0259	4303802010	3.525741
41.40382,2.19553	0801910067	0.25740024
42.29662,3.17551	1715201006	4.6480145
41.56105,2.01455	0827901008	0.07304602
41.57263,2.48258	0819701001	0.10460251
41.79819,1.95352	0801001001	0.15455951
42.29077,3.27979	1703201001	12.95164
41.73386,1.82616	0811302011	0.33821872
41.05772,1.16297	4390501001	10.225656
40.61921,0.59408	4313602002	2.793296
40.72408,0.83963	4390101004	19.797688
41.1869,1.56471	4316303009	2.560455
40.91881,0.83367	4301301003	12.3338
41.69959,2.86533	1709502003	11.281337
41.97806,2.8188	1707902005	0.16207455
41.40838,2.17125	0801902042	1.1166253
42.11522,3.13665	1706201002	6.0994363
41.8272,3.07789	1704801004	7.2619877
41.94644,3.21242	1701301001	14.621272
41.36898,0.77825	2511801001	1.25
41.23766,1.81509	0827002003	5.4532056
40.90963,0.81227	4301301003	12.3338
41.54441,2.44908	0812102007	0.55187637
41.23083,0.54977	4306001001	0.27700832
40.59542,0.5662	4300401003	3.4951456
41.6259,2.68568	0816301007	1.0779436
41.56708,2.51399	0826401002	1.1699932
42.26633,3.15092	1715201003	8.950086
41.40935,2.15847	0801906029	0.8805031
41.9959,3.19835	1712401001	11.1306095
42.34452,1.95661	1700601001	3.9496782
42.29496,1.34175	2590601001	2.768166
41.11611,1.24934	4314805002	1.5116279
41.05865,1.17031	4390501001	10.225656
41.87629,0.87782	2506201001	3.8461537
41.19351,1.62847	4305101004	1.6697104
41.80878,3.06367	1704801002	5.21327
42.17097,3.06241	1721001001	5.483871
42.35096,2.97208	1710001001	2.1126761
42.33625,3.20515	1714001001	6.287545
42.25158,3.18461	1715202003	14.349944
41.06325,1.04316	4303802005	3.580213
42.05618,3.20154	1719901003	11.177807
42.34204,3.20347	1714001001	6.287545
41.3997,2.17317	0801902061	3.6363637
42.476,0.71703	2524501001	2.9616725
41.85667,3.05795	1703401005	6.0552487
41.60684,2.62547	0823501002	3.6515055
41.6162,2.66805	0803503002	0.37425148
42.4305,3.15899	1713801001	15.215399
42.27432,3.1522	1715201006	4.6480145
41.1962,1.64472	4305101003	1.141925
40.99245,0.92283	4316201003	0.91463417
41.14847,1.40664	4315301004	0.7428041
41.7832,3.03055	1716002001	3.1417625
42.07885,3.09364	1701801001	3.3268101
41.37358,2.16434	0801903012	3.0243902
41.41993,2.20623	0801910125	0.0
41.37302,2.16744	0801903017	5.3317537
41.38262,2.12935	0801904034	1.1049724
40.88367,0.80179	4301301001	4.260813
42.32009,2.34179	1709101001	1.1494253
42.36965,1.78044	2505101001	1.9968051
42.26262,3.17657	1715201001	6.998038
40.80451,0.69697	4390601001	4.8650703
41.38136,2.15798	0801902160	4.0703053
41.61022,1.84853	0812701002	1.087942
41.59026,2.5874	0804001005	2.600473
42.43315,1.92742	1714101002	2.0033388
41.40754,2.15929	0801906030	0.7822686
42.11465,2.75441	1701502003	1.1070111
42.11463,3.12958	1706201004	2.907916
40.72632,0.6967	4390101005	3.2110093
42.02837,2.81245	1716901001	0.5514706
42.40814,1.95252	1714101003	2.1939955
41.72446,1.82491	0811301002	0.9367682
41.11499,1.25026	4314805002	1.5116279
41.61324,2.65761	0803501002	1.2618296
41.06499,1.05906	4303802001	5.1961284
42.18887,2.19111	1714704001	1.6129032
42.10728,3.14141	1706201005	7.467773
41.79785,3.05066	1704801005	5.108499
41.40381,2.17794	0801902026	1.8691589
41.75136,2.82061	1721301004	7.626147
42.33652,3.20472	1714001001	6.287545
41.46917,1.66798	0823601001	0.567721
41.40119,2.1738	0801902053	3.1818182
