Carrer d Esquirol, 4, 08003, Barcelona	41.38428624	2.17981364	address	Carrer d'Esquirol 6, Barcelona
Carrer Farell, 25, 08014, Barcelona	41.37287213	2.14361488	address	Carrer del Farell 25, Barcelona
Carrer Felip II, 128, 08027, Barcelona	41.42899518	2.17538242	address	Carrer de Felip II 279-289, Barcelona
Carrer FERNANDEZ DURO, 3, 08014, Barcelona	41.37400706	2.13620078	address	Carrer de Fernández Duró 30, Barcelona
Carrer Fernandez Duro, 3, 08014, Barcelona	41.37400706	2.13620078	address	Carrer de Fernández Duró 30, Barcelona
Carrer Ferrocarril, 27, 08005, Barcelona	41.39881235	2.20706857	address	Carrer del Ferrocarril 27, Barcelona
Carrer FERROCARRIL, 27, 08005, Barcelona	41.39881235	2.20706857	address	Carrer del Ferrocarril 27, Barcelona
Carrer Flassaders, 31, 08003, Barcelona	41.38528521	2.18233353	address	Carrer de Flassaders 31, Barcelona
Carrer Ferran, 43, 08002, Barcelona	41.38194447	2.17610806	address	Carrer de Ferran 43-45, Barcelona
Carrer de Flassaders, 33, 08003, Barcelona	41.38502544	2.18275528	address	Carrer de Flassaders 46, Barcelona
Carrer Ferran, 24, 08002, Barcelona	41.38120938	2.17537715	address	Carrer de Ferran 24-26, Barcelona
Passatge Flaugier, 39, 08041, Barcelona	41.41589785	2.17634681	address	Passatge de Flaugier 39-43, Barcelona
Carrer Flor, 5, 08002, Barcelona	41.3851487	2.17276104	address	Carrer de la Flor 5, Barcelona
Carrer Flor de Lliri, 9, 08003, Barcelona	41.38571215	2.1791706	address	Carrer de la Flor de Lliri 10, Barcelona
Carrer Floridablanca, 125, 08011, Barcelona	41.3809834	2.1616239	address	Carrer de Floridablanca 125, Barcelona
Carrer de la Flor, 5, 08002, Barcelona	41.3851487	2.17276104	address	Carrer de la Flor 5, Barcelona
Carrer Floridablanca, 24, 08015, Barcelona	41.37606192	2.15559994	address	Carrer de Floridablanca 24, Barcelona
Carrer Floridablanca, 79, 08015, Barcelona	41.37911495	2.15914051	address	Carrer de Floridablanca 79-81, Barcelona
Carrer Fluvià, 113, 08019, Barcelona	41.4088027	2.20437993	address	Carrer de Fluvià 109-115, Barcelona
Carrer Fontrodona, 70, 08004, Barcelona	41.37206536	2.16626702	address	Carrer d'en Fontrodona 70, Barcelona
Carrer Fontrodona, 29, 08004, Barcelona	41.37249025	2.16661738	address	Carrer d'en Fontrodona 29, Barcelona
Carrer Fluvià, 97, 08019, Barcelona	41.40765677	2.20594226	address	Carrer de Fluvià 97, Barcelona
Carrer Francolí, 40, 08006, Barcelona	41.40376639	2.14638749	address	Carrer del Francolí 40, Barcelona
Carrer Francisco Giner, 50, 08012, Barcelona	41.39997747	2.15824763	address	Carrer de Francisco Giner 56, Barcelona
Carrer Francesc Pérez-Cabrero, 11, 08021, Barcelona	41.39436375	2.13867726	address	Carrer de Francesc Pérez-Cabrero 19-21, Barcelona
Carrer Francisco Giner, 16, 08012, Barcelona	41.39997747	2.15824763	address	Carrer de Francisco Giner 56, Barcelona
Carrer Fluvià, 109-111, 08020, Barcelona	41.4088027	2.20437993	address	Carrer de Fluvià 109-115, Barcelona
Carrer Freser, 5, 08026, Barcelona	41.4098925	2.17912807	address	Carrer del Freser 5, Barcelona
Carrer Formatgeria, 3, 08003, Barcelona	41.38428427	2.18293674	address	Carrer de la Formatgeria 3, Barcelona
Plaça Gal·la Pacídia, 46208, 08006, Barcelona			NONE	
Plaça Gal·la Pacídia, 46082, 08006, Barcelona			NONE	
Passatge Gaiola, 11, 08013, Barcelona	41.40101113	2.17309447	address	Passatge de Matilde de Gaiolà 11, Barcelona
Carrer Freser, 78, 08026, Barcelona	41.41184709	2.18051591	address	Carrer del Freser 78, Barcelona
Carrer Freser, 230, 08031, Barcelona	41.41707163	2.18340701	address	Carrer del Freser 230, Barcelona
