VARIACIONS INTERANUALS - ESTABLIMENTS OBERTS;
% var. Interanual 21/20;
TIPOLOGIA;ESTABLIMENTS OBERTS
Establiments hotelers;37,9%
Càmpings;16,1%
Turisme Rural;11,2%
;
% var. Interanual 21/19;
TIPOLOGIA;ESTABLIMENTS OBERTS
Establiments hotelers;-15,5%
Càmpings;12,5%
Turisme Rural;-10,2%
;
;
;
;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;
